id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,유수홀딩스,5630,5700,5580,50,2024-05-21,5590,146615401560,26041812,51139
2,유수홀딩스,5580,5670,5500,10,2024-05-20,5570,145313310960,26041812,33337
3,유수홀딩스,5570,5640,5540,0,2024-05-17,5570,145052892840,26041812,12121
4,유수홀딩스,5570,5690,5540,-70,2024-05-16,5690,145052892840,26041812,28250
5,유수홀딩스,5640,5680,5640,-40,2024-05-14,5680,146875819680,26041812,7544
6,유수홀딩스,5680,5740,5660,-20,2024-05-13,5720,147917492160,26041812,8960
7,유수홀딩스,5700,5740,5660,0,2024-05-10,5700,148438328400,26041812,20769
8,유수홀딩스,5700,5790,5670,-50,2024-05-09,5780,148438328400,26041812,16831
9,유수홀딩스,5750,5780,5700,10,2024-05-08,5700,149740419000,26041812,12777
10,유수홀딩스,5740,5750,5630,90,2024-05-07,5680,149480000880,26041812,25804
11,유수홀딩스,5650,5670,5630,10,2024-05-03,5660,147136237800,26041812,5772
12,유수홀딩스,5640,5660,5580,0,2024-05-02,5640,146875819680,26041812,18936
13,유수홀딩스,5640,5640,5600,30,2024-04-30,5620,146875819680,26041812,9459
14,유수홀딩스,5610,5610,5500,100,2024-04-29,5570,146094565320,26041812,16551
15,유수홀딩스,5510,5530,5460,60,2024-04-26,5530,143490384120,26041812,9412
16,유수홀딩스,5450,5500,5430,-20,2024-04-25,5490,141927875400,26041812,12987
17,유수홀딩스,5470,5490,5450,10,2024-04-24,5490,142448711640,26041812,7434
18,유수홀딩스,5460,5480,5430,10,2024-04-23,5480,142188293520,26041812,6159
19,유수홀딩스,5450,5450,5400,50,2024-04-22,5400,141927875400,26041812,6486
20,유수홀딩스,5400,5400,5340,30,2024-04-19,5370,140625784800,26041812,3494
21,유수홀딩스,5370,5440,5300,50,2024-04-18,5440,139844530440,26041812,8350
22,유수홀딩스,5320,5370,5290,0,2024-04-17,5370,138542439840,26041812,35614
23,유수홀딩스,5320,5490,5300,-130,2024-04-16,5490,138542439840,26041812,48416
24,유수홀딩스,5450,5470,5430,-20,2024-04-15,5470,141927875400,26041812,8243
