id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,유유제약1우,5190,5310,5150,-40,2024-05-21,5240,11765366700,2266930,5930
2,유유제약1우,5230,5300,5160,-60,2024-05-20,5300,11856043900,2266930,14254
3,유유제약1우,5290,5380,5200,-40,2024-05-17,5380,11992059700,2266930,23036
4,유유제약1우,5330,5750,5100,180,2024-05-16,5190,12082736900,2266930,276868
5,유유제약1우,5150,5150,4990,150,2024-05-14,5000,11674689500,2266930,9317
6,유유제약1우,5000,5020,4950,-20,2024-05-13,5000,11334650000,2266930,3763
7,유유제약1우,5020,5030,4975,20,2024-05-10,4975,11379988600,2266930,3151
8,유유제약1우,5000,5090,4950,-30,2024-05-09,5000,11334650000,2266930,2037
9,유유제약1우,5030,5050,4910,30,2024-05-08,4910,11402657900,2266930,7977
10,유유제약1우,5000,5120,4960,0,2024-05-07,5120,11334650000,2266930,4520
11,유유제약1우,5000,5070,4970,-40,2024-05-03,5070,11334650000,2266930,1755
12,유유제약1우,5040,5150,4825,60,2024-05-02,4980,11425327200,2266930,7371
13,유유제약1우,4980,5050,4935,-20,2024-04-30,4995,11289311400,2266930,16052
14,유유제약1우,5000,5000,4900,45,2024-04-29,4990,11334650000,2266930,3837
15,유유제약1우,4955,4990,4870,15,2024-04-26,4940,11232638150,2266930,1034
16,유유제약1우,4940,5040,4920,-30,2024-04-25,4920,11198634200,2266930,1552
17,유유제약1우,4970,5030,4910,5,2024-04-24,4930,11266642100,2266930,8547
18,유유제약1우,4965,5090,4905,-135,2024-04-23,5090,11255307450,2266930,4552
19,유유제약1우,5100,5140,4860,140,2024-04-22,5110,11561343000,2266930,5951
20,유유제약1우,4960,5030,4860,-60,2024-04-19,5030,11243972800,2266930,5177
21,유유제약1우,5020,5240,4965,125,2024-04-18,5000,11379988600,2266930,11720
22,유유제약1우,4895,5170,4815,15,2024-04-17,4815,11096622350,2266930,3929
23,유유제약1우,4880,5020,4850,-115,2024-04-16,4950,11062618400,2266930,6348
24,유유제약1우,4995,5040,4945,-45,2024-04-15,4960,11323315350,2266930,3282
