id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,유유제약2우B,11480,11700,11400,-50,2024-05-21,11700,3737428800,325560,1426
2,유유제약2우B,11530,11640,11440,-10,2024-05-20,11640,3753706800,325560,1835
3,유유제약2우B,11540,11550,11250,-10,2024-05-17,11500,3756962400,325560,1620
4,유유제약2우B,11550,11570,11150,350,2024-05-16,11340,3760218000,325560,6736
5,유유제약2우B,11200,11340,11060,40,2024-05-14,11160,3646272000,325560,4093
6,유유제약2우B,11160,11190,11000,10,2024-05-13,11070,3633249600,325560,521
7,유유제약2우B,11150,11230,11000,50,2024-05-10,11230,3629994000,325560,559
8,유유제약2우B,11100,11210,11020,-50,2024-05-09,11150,3613716000,325560,691
9,유유제약2우B,11150,11230,10920,-70,2024-05-08,11230,3629994000,325560,1996
10,유유제약2우B,11220,11300,10970,190,2024-05-07,11300,3652783200,325560,873
11,유유제약2우B,11030,11290,11030,-50,2024-05-03,11080,3590926800,325560,605
12,유유제약2우B,11080,11140,10860,-60,2024-05-02,11140,3607204800,325560,402
13,유유제약2우B,11140,11310,10950,330,2024-04-30,11310,3626738400,325560,237
14,유유제약2우B,10810,11000,10810,-90,2024-04-29,11000,3519303600,325560,936
15,유유제약2우B,10900,10910,10770,-10,2024-04-26,10910,3548604000,325560,266
16,유유제약2우B,10910,10970,10830,-80,2024-04-25,10970,3551859600,325560,494
17,유유제약2우B,10990,10990,10820,40,2024-04-24,10820,3577904400,325560,302
18,유유제약2우B,10950,11000,10740,100,2024-04-23,10860,3564882000,325560,70
19,유유제약2우B,10850,10890,10700,-10,2024-04-22,10860,3532326000,325560,213
20,유유제약2우B,10860,11020,10750,-230,2024-04-19,11020,3535581600,325560,1919
21,유유제약2우B,11090,11100,10730,100,2024-04-18,10730,3610460400,325560,3660
22,유유제약2우B,10990,10990,10610,450,2024-04-17,10610,3577904400,325560,1208
23,유유제약2우B,10540,10700,10530,-150,2024-04-16,10700,3431402400,325560,1801
24,유유제약2우B,10690,10920,10610,-250,2024-04-15,10920,3480236400,325560,1061
