id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,유유제약,4950,5030,4950,-50,2024-05-21,5020,84310137450,17032351,122408
2,유유제약,5000,5090,4925,-50,2024-05-20,5050,85161755000,17032351,224057
3,유유제약,5050,5130,4985,-10,2024-05-17,5130,86013372550,17032351,412678
4,유유제약,5060,5590,4710,335,2024-05-16,4735,86183696060,17032351,4148316
5,유유제약,4725,4740,4625,60,2024-05-14,4640,80477858475,17032351,37003
6,유유제약,4665,4785,4660,-85,2024-05-13,4785,79455917415,17032351,55384
7,유유제약,4750,4765,4705,25,2024-05-10,4765,80903667250,17032351,33614
8,유유제약,4725,4770,4720,10,2024-05-09,4770,80477858475,17032351,24170
9,유유제약,4715,4745,4695,-5,2024-05-08,4700,80307534965,17032351,26873
10,유유제약,4720,4775,4710,15,2024-05-07,4710,80392696720,17032351,49239
11,유유제약,4705,4720,4670,45,2024-05-03,4670,80137211455,17032351,31917
12,유유제약,4660,4720,4635,-45,2024-05-02,4720,79370755660,17032351,44342
13,유유제약,4705,4735,4655,-15,2024-04-30,4655,80137211455,17032351,59601
14,유유제약,4720,4725,4635,85,2024-04-29,4680,80392696720,17032351,37176
15,유유제약,4635,4720,4600,-60,2024-04-26,4700,78944946885,17032351,40263
16,유유제약,4695,4730,4685,-25,2024-04-25,4720,79966887945,17032351,14624
17,유유제약,4720,4755,4705,25,2024-04-24,4720,80392696720,17032351,30964
18,유유제약,4695,4780,4670,-5,2024-04-23,4700,79966887945,17032351,28319
19,유유제약,4700,4730,4570,110,2024-04-22,4570,80052049700,17032351,31967
20,유유제약,4590,4705,4500,-90,2024-04-19,4680,78178491090,17032351,57789
21,유유제약,4680,4970,4525,140,2024-04-18,4525,79711402680,17032351,109697
22,유유제약,4540,4640,4540,-30,2024-04-17,4600,77326873540,17032351,38932
23,유유제약,4570,4710,4560,-100,2024-04-16,4710,77837844070,17032351,79556
24,유유제약,4670,4755,4600,-115,2024-04-15,4745,79541079170,17032351,80351
