id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,유진투자증권,4185,4310,4180,-75,2024-05-21,4230,405385959330,96866418,415349
2,유진투자증권,4260,4295,4000,175,2024-05-20,4070,412650940680,96866418,1002509
3,유진투자증권,4085,4120,4010,0,2024-05-17,4080,395699317530,96866418,321891
4,유진투자증권,4085,4140,4035,15,2024-05-16,4080,395699317530,96866418,333818
5,유진투자증권,4070,4145,4035,-60,2024-05-14,4125,394246321260,96866418,394498
6,유진투자증권,4130,4235,3955,-75,2024-05-13,4205,400058306340,96866418,1691811
7,유진투자증권,4205,4355,4180,5,2024-05-10,4200,407323287690,96866418,735408
8,유진투자증권,4200,4235,4145,-20,2024-05-09,4205,406838955600,96866418,404002
9,유진투자증권,4220,4335,4120,-65,2024-05-08,4285,408776283960,96866418,581289
10,유진투자증권,4285,4450,4285,-125,2024-05-07,4390,415072601130,96866418,499845
11,유진투자증권,4410,4445,4270,85,2024-05-03,4325,427180903380,96866418,657282
12,유진투자증권,4325,4390,4245,-35,2024-05-02,4345,418947257850,96866418,479586
13,유진투자증권,4360,4370,4280,15,2024-04-30,4365,422337582480,96866418,489239
14,유진투자증권,4345,4465,4295,0,2024-04-29,4345,420884586210,96866418,422045
15,유진투자증권,4345,4405,4325,-35,2024-04-26,4380,420884586210,96866418,354401
16,유진투자증권,4380,4500,4330,-15,2024-04-25,4395,424274910840,96866418,570616
17,유진투자증권,4395,4460,4250,160,2024-04-24,4250,425727907110,96866418,975847
18,유진투자증권,4235,4330,4115,120,2024-04-23,4115,410229280230,96866418,705052
19,유진투자증권,4115,4160,3955,170,2024-04-22,4030,398605310070,96866418,796637
20,유진투자증권,3945,4320,3895,-350,2024-04-19,4295,382138019010,96866418,3360057
21,유진투자증권,4295,4675,4185,-265,2024-04-18,4480,416041265310,96866418,2523000
22,유진투자증권,4560,4630,4405,65,2024-04-17,4495,441710866080,96866418,919031
23,유진투자증권,4495,4505,4345,5,2024-04-16,4480,435414548910,96866418,580939
24,유진투자증권,4490,4550,4310,10,2024-04-15,4440,434930216820,96866418,655210
