id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,유한양행,76800,77200,75900,300,2024-05-21,76900,6160056115200,80209064,343293
2,유한양행,76500,77700,74700,-900,2024-05-20,77400,6135993396000,80209064,543426
3,유한양행,77400,77500,71900,3400,2024-05-17,72200,6208181553600,80209064,972490
4,유한양행,74000,74300,70800,4100,2024-05-16,71000,5935470736000,80209064,606723
5,유한양행,69900,71000,69600,-700,2024-05-14,70800,5606613573600,80209064,283525
6,유한양행,70600,73300,70500,-1000,2024-05-13,71900,5662759918400,80209064,248054
7,유한양행,71600,72900,71500,100,2024-05-10,72100,5742968982400,80209064,203490
8,유한양행,71500,72600,71500,-1000,2024-05-09,72500,5734948076000,80209064,218010
9,유한양행,72500,72800,71500,200,2024-05-08,72700,5815157140000,80209064,226529
10,유한양행,72300,73800,72100,400,2024-05-07,72800,5799115327200,80209064,263695
11,유한양행,71900,72900,71800,-100,2024-05-03,72800,5767031701600,80209064,151677
12,유한양행,72000,72600,70900,-400,2024-05-02,72100,5775052608000,80209064,212511
13,유한양행,72400,74000,72200,-500,2024-04-30,72900,5807136233600,80209064,326354
14,유한양행,72900,73100,71500,1900,2024-04-29,71500,5847240765600,80209064,261466
15,유한양행,71000,72100,70600,-500,2024-04-26,71200,5694843544000,80209064,226429
16,유한양행,71500,72600,71300,-800,2024-04-25,71900,5734948076000,80209064,211263
17,유한양행,72300,73800,71900,-900,2024-04-24,73800,5799115327200,80209064,334254
18,유한양행,73200,74000,71000,1600,2024-04-23,71800,5871303484800,80209064,320085
19,유한양행,71600,74200,70800,2300,2024-04-22,70800,5742968982400,80209064,516293
20,유한양행,69300,70000,67800,-800,2024-04-19,69400,5558488135200,80209064,310670
21,유한양행,70100,70900,69000,1600,2024-04-18,69200,5622655386400,80209064,242556
22,유한양행,68500,70900,68500,-800,2024-04-17,69800,5494320884000,80209064,270147
23,유한양행,69300,70200,68700,-500,2024-04-16,69000,5558488135200,80209064,242507
24,유한양행,69800,70900,69600,-1400,2024-04-15,70500,5598592667200,80209064,250416
