id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,유한양행우,64200,64200,63200,400,2024-05-21,63800,75816348000,1180940,831
2,유한양행우,63800,64300,63300,-500,2024-05-20,64300,75343972000,1180940,1118
3,유한양행우,64300,64400,60900,1600,2024-05-17,62900,75934442000,1180940,12137
4,유한양행우,62700,62900,61700,1000,2024-05-16,62000,74044938000,1180940,1821
5,유한양행우,61700,61900,61300,0,2024-05-14,61800,72863998000,1180940,610
6,유한양행우,61700,62100,61200,-200,2024-05-13,61600,72863998000,1180940,704
7,유한양행우,61900,62400,61200,200,2024-05-10,62400,73100186000,1180940,1674
8,유한양행우,61700,62400,61200,-300,2024-05-09,62000,72863998000,1180940,294
9,유한양행우,62000,62700,61900,-200,2024-05-08,62200,73218280000,1180940,773
10,유한양행우,62200,62500,61700,100,2024-05-07,62300,73454468000,1180940,609
11,유한양행우,62100,62100,61600,500,2024-05-03,61600,73336374000,1180940,558
12,유한양행우,61600,61800,61500,100,2024-05-02,61600,72745904000,1180940,901
13,유한양행우,61500,62200,61500,-300,2024-04-30,62000,72627810000,1180940,464
14,유한양행우,61800,62100,60400,200,2024-04-29,61900,72982092000,1180940,1580
15,유한양행우,61600,62000,61200,-300,2024-04-26,62000,72745904000,1180940,381
16,유한양행우,61900,62500,61400,-500,2024-04-25,62400,73100186000,1180940,400
17,유한양행우,62400,62700,61800,300,2024-04-24,62500,73690656000,1180940,641
18,유한양행우,62100,62400,61400,1000,2024-04-23,61700,73336374000,1180940,981
19,유한양행우,61100,62200,60900,400,2024-04-22,61900,72155434000,1180940,1351
20,유한양행우,60700,61300,59500,-100,2024-04-19,61300,71683058000,1180940,2858
21,유한양행우,60800,61900,60500,100,2024-04-18,61900,71801152000,1180940,973
22,유한양행우,60700,61900,60400,0,2024-04-17,61800,71683058000,1180940,513
23,유한양행우,60700,61000,59700,-100,2024-04-16,60700,71683058000,1180940,1541
24,유한양행우,60800,62800,60500,-1800,2024-04-15,62800,71801152000,1180940,2243
