id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,이스트아시아홀딩스,94,94,92,1,2024-05-21,93,40601612700,431932050,1371210
2,이스트아시아홀딩스,93,94,92,-2,2024-05-20,94,40169680650,431932050,2701377
3,이스트아시아홀딩스,95,95,93,0,2024-05-17,95,41033544750,431932050,1784812
4,이스트아시아홀딩스,95,95,93,1,2024-05-16,94,41033544750,431932050,2131370
5,이스트아시아홀딩스,94,95,93,-1,2024-05-14,94,40601612700,431932050,3202454
6,이스트아시아홀딩스,95,96,94,0,2024-05-13,96,41033544750,431932050,1886622
7,이스트아시아홀딩스,95,96,93,1,2024-05-10,94,41033544750,431932050,2878806
8,이스트아시아홀딩스,94,95,93,-1,2024-05-09,95,40601612700,431932050,1793748
9,이스트아시아홀딩스,95,96,94,1,2024-05-08,94,41033544750,431932050,2635927
10,이스트아시아홀딩스,94,95,93,0,2024-05-07,94,40601612700,431932050,2826143
11,이스트아시아홀딩스,94,95,93,1,2024-05-03,93,40601612700,431932050,3392982
12,이스트아시아홀딩스,93,95,93,0,2024-05-02,94,40169680650,431932050,2347024
13,이스트아시아홀딩스,93,96,93,-1,2024-04-30,94,40169680650,431932050,5126883
14,이스트아시아홀딩스,94,95,93,0,2024-04-29,95,40601612700,431932050,2607701
15,이스트아시아홀딩스,94,98,94,0,2024-04-26,95,40601612700,431932050,5213023
16,이스트아시아홀딩스,94,95,91,2,2024-04-25,92,40601612700,431932050,8533100
17,이스트아시아홀딩스,92,93,91,0,2024-04-24,92,39737748600,431932050,2726099
18,이스트아시아홀딩스,92,94,92,-1,2024-04-23,93,39737748600,431932050,4152678
19,이스트아시아홀딩스,93,95,91,1,2024-04-22,92,40169680650,431932050,7165398
20,이스트아시아홀딩스,92,98,91,-6,2024-04-19,97,39737748600,431932050,21805716
21,이스트아시아홀딩스,98,116,98,-7,2024-04-18,105,42329340900,431932050,66384207
22,이스트아시아홀딩스,105,105,92,14,2024-04-17,94,45352865250,431932050,34536640
23,이스트아시아홀딩스,91,91,89,0,2024-04-16,90,39305816550,431932050,1553828
24,이스트아시아홀딩스,91,92,88,-1,2024-04-15,91,39305816550,431932050,4083137
