id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,이화산업,14780,15400,14780,-190,2024-05-21,15100,41384000000,2800000,5750
2,이화산업,14970,15020,14500,300,2024-05-20,14670,41916000000,2800000,6213
3,이화산업,14670,14800,14500,60,2024-05-17,14790,41076000000,2800000,3416
4,이화산업,14610,14960,14480,20,2024-05-16,14490,40908000000,2800000,349
5,이화산업,14590,14990,14570,-180,2024-05-14,14770,40852000000,2800000,331
6,이화산업,14770,14830,14450,60,2024-05-13,14710,41356000000,2800000,1248
7,이화산업,14710,14850,14360,220,2024-05-10,14490,41188000000,2800000,810
8,이화산업,14490,14800,14320,70,2024-05-09,14430,40572000000,2800000,734
9,이화산업,14420,14780,14220,180,2024-05-08,14290,40376000000,2800000,604
10,이화산업,14240,14340,14100,-20,2024-05-07,14260,39872000000,2800000,830
11,이화산업,14260,14360,14210,0,2024-05-03,14260,39928000000,2800000,655
12,이화산업,14260,14430,14140,-70,2024-05-02,14230,39928000000,2800000,559
13,이화산업,14330,14450,14220,-110,2024-04-30,14400,40124000000,2800000,584
14,이화산업,14440,14450,14110,70,2024-04-29,14390,40432000000,2800000,4931
15,이화산업,14370,14380,14190,70,2024-04-26,14190,40236000000,2800000,369
16,이화산업,14300,14470,14170,30,2024-04-25,14470,40040000000,2800000,738
17,이화산업,14270,14420,14220,50,2024-04-24,14220,39956000000,2800000,853
18,이화산업,14220,14440,14130,-70,2024-04-23,14430,39816000000,2800000,614
19,이화산업,14290,14500,14090,190,2024-04-22,14500,40012000000,2800000,302
20,이화산업,14100,14650,14040,-210,2024-04-19,14310,39480000000,2800000,1271
21,이화산업,14310,14490,14170,20,2024-04-18,14170,40068000000,2800000,180
22,이화산업,14290,14290,14100,120,2024-04-17,14160,40012000000,2800000,2111
23,이화산업,14170,14500,14160,-320,2024-04-16,14160,39676000000,2800000,1773
24,이화산업,14490,14700,14350,-210,2024-04-15,14350,40572000000,2800000,890
