id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,일동홀딩스,8320,8530,8300,-130,2024-05-21,8530,96016128000,11540400,16970
2,일동홀딩스,8450,8770,8440,0,2024-05-20,8500,97516380000,11540400,14847
3,일동홀딩스,8450,8620,8420,-50,2024-05-17,8420,97516380000,11540400,7945
4,일동홀딩스,8500,8700,8500,-90,2024-05-16,8690,98093400000,11540400,12647
5,일동홀딩스,8590,8870,8530,-260,2024-05-14,8840,99132036000,11540400,19356
6,일동홀딩스,8850,8870,8670,0,2024-05-13,8670,102132540000,11540400,12335
7,일동홀딩스,8850,8990,8750,0,2024-05-10,8910,102132540000,11540400,9233
8,일동홀딩스,8850,9000,8800,-110,2024-05-09,9000,102132540000,11540400,11091
9,일동홀딩스,8960,8960,8760,120,2024-05-08,8890,103401984000,11540400,15735
10,일동홀딩스,8840,8890,8770,50,2024-05-07,8770,102017136000,11540400,9036
11,일동홀딩스,8790,8900,8700,-10,2024-05-03,8800,101440116000,11540400,14332
12,일동홀딩스,8800,8860,8690,80,2024-05-02,8730,101555520000,11540400,14402
13,일동홀딩스,8720,8910,8700,-90,2024-04-30,8910,100632288000,11540400,15332
14,일동홀딩스,8810,8920,8710,110,2024-04-29,8730,101670924000,11540400,19448
15,일동홀딩스,8700,8790,8650,10,2024-04-26,8670,100401480000,11540400,6777
16,일동홀딩스,8690,8800,8600,-10,2024-04-25,8720,100286076000,11540400,9034
17,일동홀딩스,8700,8800,8450,10,2024-04-24,8790,100401480000,11540400,7596
18,일동홀딩스,8690,8780,8630,60,2024-04-23,8780,100286076000,11540400,5231
19,일동홀딩스,8630,9000,8460,20,2024-04-22,8560,99593652000,11540400,8098
20,일동홀딩스,8610,9050,8440,170,2024-04-19,8440,99362844000,11540400,19577
21,일동홀딩스,8440,8520,8300,80,2024-04-18,8450,97400976000,11540400,12285
22,일동홀딩스,8360,8550,8270,10,2024-04-17,8350,96477744000,11540400,11602
23,일동홀딩스,8350,8570,8350,-260,2024-04-16,8550,96362340000,11540400,22302
24,일동홀딩스,8610,8700,8510,-80,2024-04-15,8510,99362844000,11540400,11031
