id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,전방,21200,21200,20350,500,2024-05-21,20700,35616000000,1680000,2840
2,전방,20700,21600,20500,-100,2024-05-20,21600,34776000000,1680000,1859
3,전방,20800,21000,20600,150,2024-05-17,20650,34944000000,1680000,188
4,전방,20650,21100,20650,-300,2024-05-16,21050,34692000000,1680000,822
5,전방,20950,21150,20450,500,2024-05-14,20450,35196000000,1680000,2325
6,전방,20450,20800,20400,50,2024-05-13,20400,34356000000,1680000,450
7,전방,20400,21000,20300,-100,2024-05-10,21000,34272000000,1680000,1185
8,전방,20500,21950,20500,-150,2024-05-09,21950,34440000000,1680000,311
9,전방,20650,20800,19950,450,2024-05-08,20400,34692000000,1680000,2215
10,전방,20200,20550,20200,-50,2024-05-07,20550,33936000000,1680000,1058
11,전방,20250,20450,20000,100,2024-05-03,20000,34020000000,1680000,1920
12,전방,20150,20300,20100,-200,2024-05-02,20150,33852000000,1680000,243
13,전방,20350,20350,20150,0,2024-04-30,20350,34188000000,1680000,528
14,전방,20350,20550,20000,200,2024-04-29,20000,34188000000,1680000,424
15,전방,20150,20300,19920,-50,2024-04-26,20000,33852000000,1680000,1691
16,전방,20200,20450,19940,200,2024-04-25,20250,33936000000,1680000,1482
17,전방,20000,20350,20000,-200,2024-04-24,20200,33600000000,1680000,901
18,전방,20200,20400,19960,150,2024-04-23,20400,33936000000,1680000,785
19,전방,20050,20950,19800,-250,2024-04-22,20300,33684000000,1680000,1032
20,전방,20300,20900,19950,-400,2024-04-19,20800,34104000000,1680000,2330
21,전방,20700,20700,20250,-100,2024-04-18,20550,34776000000,1680000,853
22,전방,20800,21200,20300,-200,2024-04-17,21000,34944000000,1680000,2039
23,전방,21000,21000,20050,650,2024-04-16,20350,35280000000,1680000,2283
24,전방,20350,20900,20050,-50,2024-04-15,20450,34188000000,1680000,1574
