id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,중앙에너비스,20350,20600,20000,-450,2024-05-21,20400,126722095500,6227130,41264
2,중앙에너비스,20800,21550,20100,860,2024-05-20,20150,129524304000,6227130,294277
3,중앙에너비스,19940,20900,19940,-360,2024-05-17,20300,124168972200,6227130,39872
4,중앙에너비스,20300,20600,20050,-400,2024-05-16,20400,126410739000,6227130,39520
5,중앙에너비스,20700,21550,20600,-750,2024-05-14,21400,128901591000,6227130,57126
6,중앙에너비스,21450,21950,19900,500,2024-05-13,20300,133571938500,6227130,138865
7,중앙에너비스,20950,21250,20400,400,2024-05-10,20450,130458373500,6227130,84006
8,중앙에너비스,20550,20850,20300,100,2024-05-09,20550,127967521500,6227130,53925
9,중앙에너비스,20450,21250,20350,-1100,2024-05-08,21150,127344808500,6227130,79427
10,중앙에너비스,21550,22000,21000,0,2024-05-07,21150,134194651500,6227130,152138
11,중앙에너비스,21550,22800,21000,850,2024-05-03,21000,134194651500,6227130,447953
12,중앙에너비스,20700,21100,20200,-150,2024-05-02,20350,128901591000,6227130,62359
13,중앙에너비스,20850,21200,20300,-350,2024-04-30,20850,129835660500,6227130,97308
14,중앙에너비스,21200,22350,20700,-1650,2024-04-29,22150,132015156000,6227130,192578
15,중앙에너비스,22850,23000,22400,200,2024-04-26,22650,142289920500,6227130,174327
16,중앙에너비스,22650,23450,22200,-300,2024-04-25,22700,141044494500,6227130,369347
17,중앙에너비스,22950,23450,22350,300,2024-04-24,22500,142912633500,6227130,209284
18,중앙에너비스,22650,24800,21750,300,2024-04-23,21950,141044494500,6227130,823369
19,중앙에너비스,22350,23900,22000,-3150,2024-04-22,23400,139176355500,6227130,520776
20,중앙에너비스,25500,28400,22150,3000,2024-04-19,22500,158791815000,6227130,3206563
21,중앙에너비스,22500,23000,21400,-800,2024-04-18,21750,140110425000,6227130,250020
22,중앙에너비스,23300,24650,22200,-1100,2024-04-17,23050,145092129000,6227130,453160
23,중앙에너비스,24400,27000,23600,-1050,2024-04-16,26050,151941972000,6227130,876780
24,중앙에너비스,25450,30700,25300,-700,2024-04-15,27500,158480458500,6227130,3614582
