id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,천일고속,45200,45900,44850,-400,2024-05-21,45900,64600744000,1429220,302
2,천일고속,45600,45800,45450,-200,2024-05-20,45800,65172432000,1429220,59
3,천일고속,45800,45900,45400,100,2024-05-17,45400,65458276000,1429220,18
4,천일고속,45700,45850,45250,250,2024-05-16,45500,65315354000,1429220,862
5,천일고속,45450,45450,45150,150,2024-05-14,45150,64958049000,1429220,533
6,천일고속,45300,45550,44750,50,2024-05-13,45550,64743666000,1429220,71
7,천일고속,45250,45650,45000,-200,2024-05-10,45400,64672205000,1429220,867
8,천일고속,45450,46000,45200,-500,2024-05-09,45200,64958049000,1429220,281
9,천일고속,45950,45950,45900,550,2024-05-08,45950,65672659000,1429220,14
10,천일고속,45400,47500,45350,-400,2024-05-07,45500,64886588000,1429220,179
11,천일고속,45800,46150,45750,0,2024-05-03,45750,65458276000,1429220,49
12,천일고속,45800,46150,45600,-400,2024-05-02,46050,65458276000,1429220,170
13,천일고속,46200,46350,46000,0,2024-04-30,46000,66029964000,1429220,230
14,천일고속,46200,46250,46000,0,2024-04-29,46200,66029964000,1429220,558
15,천일고속,46200,46250,45200,-50,2024-04-26,46150,66029964000,1429220,475
16,천일고속,46250,46600,46250,-350,2024-04-25,46600,66101425000,1429220,121
17,천일고속,46600,46700,46300,-100,2024-04-24,46450,66601652000,1429220,55
18,천일고속,46700,47200,46500,-500,2024-04-23,47200,66744574000,1429220,248
19,천일고속,47200,47200,46450,450,2024-04-22,46600,67459184000,1429220,795
20,천일고속,46750,47200,45750,50,2024-04-19,46950,66816035000,1429220,307
21,천일고속,46700,46750,46450,-50,2024-04-18,46750,66744574000,1429220,39
22,천일고속,46750,47050,45700,500,2024-04-17,45900,66816035000,1429220,18
23,천일고속,46250,46250,44550,-100,2024-04-16,46050,66101425000,1429220,271
24,천일고속,46350,46850,46100,300,2024-04-15,46300,66244347000,1429220,1255
