id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,컬러레이,828,838,811,12,2024-05-21,811,53026506900,64041675,226432
2,컬러레이,816,825,809,-4,2024-05-20,820,52258006800,64041675,76932
3,컬러레이,820,829,811,-5,2024-05-17,825,52514173500,64041675,128365
4,컬러레이,825,831,819,7,2024-05-16,820,52834381875,64041675,278655
5,컬러레이,818,830,809,1,2024-05-14,811,52386090150,64041675,98936
6,컬러레이,817,835,811,4,2024-05-13,815,52322048475,64041675,275855
7,컬러레이,813,825,789,15,2024-05-10,789,52065881775,64041675,168875
8,컬러레이,798,811,797,-5,2024-05-09,803,51105256650,64041675,73029
9,컬러레이,803,813,803,-10,2024-05-08,813,51425465025,64041675,99159
10,컬러레이,813,818,800,3,2024-05-07,809,52065881775,64041675,96373
11,컬러레이,810,820,786,-2,2024-05-03,820,51873756750,64041675,155620
12,컬러레이,812,850,794,19,2024-05-02,794,52001840100,64041675,734308
13,컬러레이,793,798,775,13,2024-04-30,790,50785048275,64041675,143293
14,컬러레이,780,788,774,4,2024-04-29,779,49952506500,64041675,97041
15,컬러레이,776,793,776,-13,2024-04-26,785,49696339800,64041675,104242
16,컬러레이,789,798,777,9,2024-04-25,780,50528881575,64041675,167110
17,컬러레이,780,780,768,11,2024-04-24,769,49952506500,64041675,96594
18,컬러레이,769,786,766,-1,2024-04-23,771,49248048075,64041675,246653
19,컬러레이,770,778,750,0,2024-04-22,778,49312089750,64041675,235633
20,컬러레이,770,810,757,-3,2024-04-19,781,49312089750,64041675,439638
21,컬러레이,773,782,756,10,2024-04-18,756,49504214775,64041675,175724
22,컬러레이,763,774,755,8,2024-04-17,762,48863798025,64041675,143223
23,컬러레이,755,778,748,-15,2024-04-16,769,48351464625,64041675,165597
24,컬러레이,770,777,755,0,2024-04-15,760,49312089750,64041675,98224
