id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,태원물산,4270,4460,4270,0,2024-05-21,4270,32452000000,7600000,10089
2,태원물산,4270,4300,4185,85,2024-05-20,4185,32452000000,7600000,8609
3,태원물산,4185,4215,4140,-5,2024-05-17,4200,31806000000,7600000,2854
4,태원물산,4190,4230,4180,-40,2024-05-16,4230,31844000000,7600000,1120
5,태원물산,4230,4230,4180,0,2024-05-14,4215,32148000000,7600000,1548
6,태원물산,4230,4230,4185,0,2024-05-13,4220,32148000000,7600000,1051
7,태원물산,4230,4230,4200,-5,2024-05-10,4200,32148000000,7600000,544
8,태원물산,4235,4240,4125,-5,2024-05-09,4240,32186000000,7600000,2304
9,태원물산,4240,4280,4190,-10,2024-05-08,4250,32224000000,7600000,1425
10,태원물산,4250,4280,4110,60,2024-05-07,4190,32300000000,7600000,2647
11,태원물산,4190,4250,4105,75,2024-05-03,4115,31844000000,7600000,2192
12,태원물산,4115,4275,4110,-30,2024-05-02,4185,31274000000,7600000,3552
13,태원물산,4145,4195,4115,0,2024-04-30,4115,31502000000,7600000,1495
14,태원물산,4145,4145,4050,55,2024-04-29,4105,31502000000,7600000,5270
15,태원물산,4090,4095,4055,35,2024-04-26,4085,31084000000,7600000,1804
16,태원물산,4055,4155,4055,-70,2024-04-25,4125,30818000000,7600000,4447
17,태원물산,4125,4180,4080,45,2024-04-24,4105,31350000000,7600000,2557
18,태원물산,4080,4230,4080,-60,2024-04-23,4140,31008000000,7600000,3984
19,태원물산,4140,4270,4050,65,2024-04-22,4270,31464000000,7600000,3546
20,태원물산,4075,4140,4075,-25,2024-04-19,4100,30970000000,7600000,2535
21,태원물산,4100,4130,4065,10,2024-04-18,4090,31160000000,7600000,69334
22,태원물산,4090,4210,4090,-175,2024-04-17,4195,31084000000,7600000,11511
23,태원물산,4265,4280,4115,-35,2024-04-16,4280,32414000000,7600000,10389
24,태원물산,4300,4330,4200,-85,2024-04-15,4330,32680000000,7600000,47811
