id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,페이퍼코리아,841,853,840,-8,2024-05-21,853,149683966233,177983313,16518
2,페이퍼코리아,849,858,840,3,2024-05-20,846,151107832737,177983313,15213
3,페이퍼코리아,846,860,846,-8,2024-05-17,854,150573882798,177983313,18765
4,페이퍼코리아,854,863,838,8,2024-05-16,846,151997749302,177983313,14953
5,페이퍼코리아,846,854,834,2,2024-05-14,844,150573882798,177983313,32049
6,페이퍼코리아,844,856,836,-4,2024-05-13,838,150217916172,177983313,24594
7,페이퍼코리아,848,854,838,3,2024-05-10,845,150929849424,177983313,23967
8,페이퍼코리아,845,859,841,-1,2024-05-09,841,150395899485,177983313,27764
9,페이퍼코리아,846,858,840,-7,2024-05-08,840,150573882798,177983313,23394
10,페이퍼코리아,853,868,846,5,2024-05-07,848,151819765989,177983313,66014
11,페이퍼코리아,848,869,842,3,2024-05-03,869,150929849424,177983313,28122
12,페이퍼코리아,845,855,843,-11,2024-05-02,855,150395899485,177983313,37254
13,페이퍼코리아,856,880,849,4,2024-04-30,880,152353715928,177983313,8231
14,페이퍼코리아,852,860,845,-2,2024-04-29,852,151641782676,177983313,30796
15,페이퍼코리아,854,868,850,-5,2024-04-26,859,151997749302,177983313,22194
16,페이퍼코리아,859,872,850,4,2024-04-25,872,152887665867,177983313,3727
17,페이퍼코리아,855,886,836,8,2024-04-24,886,152175732615,177983313,21663
18,페이퍼코리아,847,852,835,1,2024-04-23,846,150751866111,177983313,63688
19,페이퍼코리아,846,858,844,-12,2024-04-22,858,150573882798,177983313,26283
20,페이퍼코리아,858,862,851,-4,2024-04-19,862,152709682554,177983313,17379
21,페이퍼코리아,862,880,843,6,2024-04-18,843,153421615806,177983313,9503
22,페이퍼코리아,856,867,852,-6,2024-04-17,858,152353715928,177983313,30922
23,페이퍼코리아,862,870,857,-8,2024-04-16,868,153421615806,177983313,16899
24,페이퍼코리아,870,888,861,-9,2024-04-15,888,154845482310,177983313,15809
