id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,하이트진로2우B,15980,16100,15950,-110,2024-05-21,16090,18059605240,1130138,1225
2,하이트진로2우B,16090,16090,16040,60,2024-05-20,16070,18183920420,1130138,762
3,하이트진로2우B,16030,16070,15950,50,2024-05-17,16070,18116112140,1130138,1489
4,하이트진로2우B,15980,16050,15950,50,2024-05-16,16050,18059605240,1130138,1312
5,하이트진로2우B,15930,16050,15870,0,2024-05-14,15930,18003098340,1130138,1254
6,하이트진로2우B,15930,16000,15850,-10,2024-05-13,15990,18003098340,1130138,859
7,하이트진로2우B,15940,16030,15870,80,2024-05-10,15870,18014399720,1130138,632
8,하이트진로2우B,15860,16040,15830,40,2024-05-09,16040,17923988680,1130138,325
9,하이트진로2우B,15820,15980,15810,-40,2024-05-08,15860,17878783160,1130138,1746
10,하이트진로2우B,15860,16020,15850,-160,2024-05-07,16020,17923988680,1130138,1152
11,하이트진로2우B,16020,16080,15950,20,2024-05-03,16080,18104810760,1130138,279
12,하이트진로2우B,16000,16060,15920,60,2024-05-02,16060,18082208000,1130138,555
13,하이트진로2우B,15940,16020,15940,-30,2024-04-30,16020,18014399720,1130138,662
14,하이트진로2우B,15970,16000,15950,60,2024-04-29,16000,18048303860,1130138,689
15,하이트진로2우B,15910,15990,15880,0,2024-04-26,15960,17980495580,1130138,318
16,하이트진로2우B,15910,15980,15890,0,2024-04-25,15970,17980495580,1130138,856
17,하이트진로2우B,15910,15920,15760,20,2024-04-24,15920,17980495580,1130138,583
18,하이트진로2우B,15890,15900,15800,30,2024-04-23,15860,17957892820,1130138,804
19,하이트진로2우B,15860,15910,15510,20,2024-04-22,15910,17923988680,1130138,626
20,하이트진로2우B,15840,15860,15680,-20,2024-04-19,15860,17901385920,1130138,875
21,하이트진로2우B,15860,15950,15700,10,2024-04-18,15950,17923988680,1130138,498
22,하이트진로2우B,15850,15850,15600,90,2024-04-17,15800,17912687300,1130138,968
23,하이트진로2우B,15760,15950,15760,-100,2024-04-16,15860,17810974880,1130138,1012
24,하이트진로2우B,15860,15860,15690,60,2024-04-15,15750,17923988680,1130138,929
