id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,하이트진로,19980,20150,19960,-120,2024-05-21,20100,1401269547780,70133611,193154
2,하이트진로,20100,20350,20050,-100,2024-05-20,20200,1409685581100,70133611,173266
3,하이트진로,20200,20400,20150,0,2024-05-17,20200,1416698942200,70133611,138525
4,하이트진로,20200,20500,20100,-100,2024-05-16,20450,1416698942200,70133611,243145
5,하이트진로,20300,20500,20200,-100,2024-05-14,20500,1423712303300,70133611,121309
6,하이트진로,20400,20500,20250,0,2024-05-13,20500,1430725664400,70133611,111049
7,하이트진로,20400,20450,20300,150,2024-05-10,20450,1430725664400,70133611,118414
8,하이트진로,20250,20600,20150,0,2024-05-09,20200,1420205622750,70133611,351974
9,하이트진로,20250,20450,20150,0,2024-05-08,20300,1420205622750,70133611,244047
10,하이트진로,20250,21050,20100,-850,2024-05-07,20900,1420205622750,70133611,752967
11,하이트진로,21100,21200,21000,50,2024-05-03,21150,1479819192100,70133611,124218
12,하이트진로,21050,21100,20900,0,2024-05-02,20950,1476312511550,70133611,121141
13,하이트진로,21050,21250,21000,0,2024-04-30,21000,1476312511550,70133611,114851
14,하이트진로,21050,21100,20850,150,2024-04-29,21000,1476312511550,70133611,135839
15,하이트진로,20900,21150,20850,-100,2024-04-26,21100,1465792469900,70133611,72687
16,하이트진로,21000,21300,20750,0,2024-04-25,20900,1472805831000,70133611,113134
17,하이트진로,21000,21350,20900,-100,2024-04-24,21150,1472805831000,70133611,85771
18,하이트진로,21100,21250,21000,50,2024-04-23,21100,1479819192100,70133611,70589
19,하이트진로,21050,21100,20850,400,2024-04-22,20850,1476312511550,70133611,106724
20,하이트진로,20650,21100,20400,-350,2024-04-19,20950,1448259067150,70133611,151129
21,하이트진로,21000,21100,20850,200,2024-04-18,20900,1472805831000,70133611,59744
22,하이트진로,20800,21150,20800,-100,2024-04-17,21050,1458779108800,70133611,99041
23,하이트진로,20900,21300,20800,-400,2024-04-16,21150,1465792469900,70133611,125812
24,하이트진로,21300,21550,20800,200,2024-04-15,20800,1493845914300,70133611,155406
