id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,하이트진로홀딩스,9030,9160,9020,-150,2024-05-21,9050,209557087950,23206765,20041
2,하이트진로홀딩스,9180,9190,9110,50,2024-05-20,9130,213038102700,23206765,12479
3,하이트진로홀딩스,9130,9180,9080,-40,2024-05-17,9150,211877764450,23206765,7936
4,하이트진로홀딩스,9170,9190,9140,30,2024-05-16,9150,212806035050,23206765,13803
5,하이트진로홀딩스,9140,9140,9070,50,2024-05-14,9110,212109832100,23206765,5910
6,하이트진로홀딩스,9090,9150,9040,-30,2024-05-13,9150,210949493850,23206765,7492
7,하이트진로홀딩스,9120,9130,9080,-10,2024-05-10,9130,211645696800,23206765,3729
8,하이트진로홀딩스,9130,9150,9070,90,2024-05-09,9080,211877764450,23206765,9694
9,하이트진로홀딩스,9040,9110,9000,0,2024-05-08,9070,209789155600,23206765,6875
10,하이트진로홀딩스,9040,9110,8980,-30,2024-05-07,9000,209789155600,23206765,17303
11,하이트진로홀딩스,9070,9170,9000,-50,2024-05-03,9170,210485358550,23206765,10420
12,하이트진로홀딩스,9120,9200,9080,20,2024-05-02,9130,211645696800,23206765,11815
13,하이트진로홀딩스,9100,9140,9040,-40,2024-04-30,9040,211181561500,23206765,14765
14,하이트진로홀딩스,9140,9140,9000,140,2024-04-29,9010,212109832100,23206765,11730
15,하이트진로홀딩스,9000,9000,8930,10,2024-04-26,8930,208860885000,23206765,4987
16,하이트진로홀딩스,8990,8990,8960,20,2024-04-25,8990,208628817350,23206765,1817
17,하이트진로홀딩스,8970,9000,8940,50,2024-04-24,8990,208164682050,23206765,5439
18,하이트진로홀딩스,8920,9000,8900,-80,2024-04-23,9000,207004343800,23206765,16074
19,하이트진로홀딩스,9000,9010,8940,80,2024-04-22,8970,208860885000,23206765,6527
20,하이트진로홀딩스,8920,9000,8900,-20,2024-04-19,9000,207004343800,23206765,5533
21,하이트진로홀딩스,8940,8970,8900,40,2024-04-18,8900,207468479100,23206765,4675
22,하이트진로홀딩스,8900,8960,8900,-20,2024-04-17,8950,206540208500,23206765,9059
23,하이트진로홀딩스,8920,9090,8850,-140,2024-04-16,9090,207004343800,23206765,20206
24,하이트진로홀딩스,9060,9200,8970,10,2024-04-15,9000,210253290900,23206765,9940
