id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,하이트진로홀딩스우,11970,12000,11900,-30,2024-05-21,12000,5635595700,470810,248
2,하이트진로홀딩스우,12000,12000,11860,100,2024-05-20,11900,5649720000,470810,125
3,하이트진로홀딩스우,11900,12000,11880,-100,2024-05-17,12000,5602639000,470810,113
4,하이트진로홀딩스우,12000,12000,11880,0,2024-05-16,12000,5649720000,470810,153
5,하이트진로홀딩스우,12000,12000,11880,120,2024-05-14,11880,5649720000,470810,15
6,하이트진로홀딩스우,11880,12120,11860,-190,2024-05-13,12120,5593222800,470810,423
7,하이트진로홀딩스우,12070,12090,12010,70,2024-05-10,12090,5682676700,470810,29
8,하이트진로홀딩스우,12000,12000,11880,120,2024-05-09,12000,5649720000,470810,37
9,하이트진로홀딩스우,11880,12060,11880,-180,2024-05-08,12060,5593222800,470810,20
10,하이트진로홀딩스우,12060,12090,12050,-30,2024-05-07,12090,5677968600,470810,8
11,하이트진로홀딩스우,12090,12090,12090,0,2024-05-03,12090,5692092900,470810,1
12,하이트진로홀딩스우,12090,12090,12090,0,2024-05-02,12090,5692092900,470810,3
13,하이트진로홀딩스우,12090,12090,11930,110,2024-04-30,11930,5692092900,470810,29
14,하이트진로홀딩스우,11980,11990,11980,-10,2024-04-29,11990,5640303800,470810,27
15,하이트진로홀딩스우,11990,11990,11990,0,2024-04-26,11990,5645011900,470810,1
16,하이트진로홀딩스우,11990,12000,11890,100,2024-04-25,11890,5645011900,470810,38
17,하이트진로홀딩스우,11890,11990,11890,-100,2024-04-24,11990,5597930900,470810,11
18,하이트진로홀딩스우,11990,12080,11870,-90,2024-04-23,12080,5645011900,470810,112
19,하이트진로홀딩스우,12080,12760,12020,-690,2024-04-22,12760,5687384800,470810,769
20,하이트진로홀딩스우,12770,12770,11710,950,2024-04-19,11710,6012243700,470810,207
21,하이트진로홀딩스우,11820,11830,11700,120,2024-04-18,11730,5564974200,470810,19
22,하이트진로홀딩스우,11700,11760,11670,-160,2024-04-17,11760,5508477000,470810,299
23,하이트진로홀딩스우,11860,11860,11790,-10,2024-04-16,11800,5583806600,470810,96
24,하이트진로홀딩스우,11870,11870,11800,-110,2024-04-15,11800,5588514700,470810,95
