id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,한국앤컴퍼니,15090,15130,14920,40,2024-05-21,15000,1432572771600,94935240,44258
2,한국앤컴퍼니,15050,15180,15030,90,2024-05-20,15100,1428775362000,94935240,77613
3,한국앤컴퍼니,14960,15060,14940,-20,2024-05-17,15060,1420231190400,94935240,47693
4,한국앤컴퍼니,14980,15180,14960,-40,2024-05-16,15160,1422129895200,94935240,72175
5,한국앤컴퍼니,15020,15100,14790,180,2024-05-14,14850,1425927304800,94935240,101643
6,한국앤컴퍼니,14840,14930,14810,50,2024-05-13,14820,1408838961600,94935240,84039
7,한국앤컴퍼니,14790,14940,14700,-10,2024-05-10,14890,1404092199600,94935240,129744
8,한국앤컴퍼니,14800,14990,14760,-100,2024-05-09,14830,1405041552000,94935240,137019
9,한국앤컴퍼니,14900,15060,14800,-80,2024-05-08,15060,1414535076000,94935240,150974
10,한국앤컴퍼니,14980,16190,14600,-1120,2024-05-07,16070,1422129895200,94935240,554820
11,한국앤컴퍼니,16100,16570,15980,-210,2024-05-03,16530,1528457364000,94935240,179773
12,한국앤컴퍼니,16310,17650,16200,110,2024-05-02,17030,1548393764400,94935240,342747
13,한국앤컴퍼니,16200,16310,15910,260,2024-04-30,16050,1537950888000,94935240,100758
14,한국앤컴퍼니,15940,15940,15450,390,2024-04-29,15660,1513267725600,94935240,71276
15,한국앤컴퍼니,15550,15650,15000,70,2024-04-26,15650,1476242982000,94935240,77534
16,한국앤컴퍼니,15480,15760,15480,-320,2024-04-25,15610,1469597515200,94935240,48447
17,한국앤컴퍼니,15800,15840,15480,230,2024-04-24,15570,1499976792000,94935240,59545
18,한국앤컴퍼니,15570,15720,15410,70,2024-04-23,15410,1478141686800,94935240,43765
19,한국앤컴퍼니,15500,15570,15060,590,2024-04-22,15130,1471496220000,94935240,66954
20,한국앤컴퍼니,14910,15620,14610,-860,2024-04-19,15520,1415484428400,94935240,240063
21,한국앤컴퍼니,15770,15800,15460,250,2024-04-18,15500,1497128734800,94935240,68357
22,한국앤컴퍼니,15520,15750,15510,-220,2024-04-17,15590,1473394924800,94935240,77627
23,한국앤컴퍼니,15740,15910,15490,-180,2024-04-16,15490,1494280677600,94935240,80711
24,한국앤컴퍼니,15920,16000,15520,-70,2024-04-15,15900,1511369020800,94935240,66607
