id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,한국주철관,6550,6560,6500,20,2024-05-21,6520,149343275000,22800500,22623
2,한국주철관,6530,6590,6520,-10,2024-05-20,6590,148887265000,22800500,16838
3,한국주철관,6540,6600,6530,-50,2024-05-17,6590,149115270000,22800500,29422
4,한국주철관,6590,6620,6540,10,2024-05-16,6600,150255295000,22800500,25226
5,한국주철관,6580,6610,6520,-10,2024-05-14,6600,150027290000,22800500,15814
6,한국주철관,6590,6620,6500,80,2024-05-13,6510,150255295000,22800500,36623
7,한국주철관,6510,6530,6470,40,2024-05-10,6470,148431255000,22800500,10267
8,한국주철관,6470,6510,6440,10,2024-05-09,6450,147519235000,22800500,12681
9,한국주철관,6460,6480,6410,20,2024-05-08,6410,147291230000,22800500,17840
10,한국주철관,6440,6470,6390,10,2024-05-07,6460,146835220000,22800500,18408
11,한국주철관,6430,6460,6400,-10,2024-05-03,6440,146607215000,22800500,12893
12,한국주철관,6440,6450,6380,20,2024-05-02,6420,146835220000,22800500,27749
13,한국주철관,6420,6460,6400,0,2024-04-30,6460,146379210000,22800500,18613
14,한국주철관,6420,6430,6370,30,2024-04-29,6430,146379210000,22800500,18096
15,한국주철관,6390,6450,6370,-10,2024-04-26,6400,145695195000,22800500,6227
16,한국주철관,6400,6450,6370,-20,2024-04-25,6420,145923200000,22800500,29776
17,한국주철관,6420,6480,6390,-40,2024-04-24,6470,146379210000,22800500,17586
18,한국주철관,6460,6480,6400,10,2024-04-23,6460,147291230000,22800500,10445
19,한국주철관,6450,6470,6380,20,2024-04-22,6390,147063225000,22800500,6778
20,한국주철관,6430,6430,6310,0,2024-04-19,6410,146607215000,22800500,13361
21,한국주철관,6430,6500,6320,40,2024-04-18,6350,146607215000,22800500,12706
22,한국주철관,6390,6400,6300,50,2024-04-17,6310,145695195000,22800500,6488
23,한국주철관,6340,6400,6280,-70,2024-04-16,6400,144555170000,22800500,37302
24,한국주철관,6410,6450,6320,0,2024-04-15,6410,146151205000,22800500,11989
