id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,한화3우B,14880,15030,14810,-20,2024-05-21,14910,334383360000,22472000,53308
2,한화3우B,14900,14900,14780,50,2024-05-20,14830,334832800000,22472000,28552
3,한화3우B,14850,14910,14780,-30,2024-05-17,14910,333709200000,22472000,17183
4,한화3우B,14880,14900,14800,-10,2024-05-16,14880,334383360000,22472000,26584
5,한화3우B,14890,14980,14850,-50,2024-05-14,14980,334608080000,22472000,9494
6,한화3우B,14940,14990,14830,-10,2024-05-13,14900,335731680000,22472000,33776
7,한화3우B,14950,14990,14730,200,2024-05-10,14750,335956400000,22472000,56938
8,한화3우B,14750,14880,14720,-30,2024-05-09,14880,331462000000,22472000,13690
9,한화3우B,14780,14900,14760,10,2024-05-08,14770,332136160000,22472000,24690
10,한화3우B,14770,14910,14750,10,2024-05-07,14760,331911440000,22472000,31985
11,한화3우B,14760,14980,14750,-50,2024-05-03,14780,331686720000,22472000,30977
12,한화3우B,14810,14960,14770,-40,2024-05-02,14960,332810320000,22472000,36068
13,한화3우B,14850,15010,14830,-150,2024-04-30,15000,333709200000,22472000,31426
14,한화3우B,15000,15050,14850,70,2024-04-29,14900,337080000000,22472000,33311
15,한화3우B,14930,14970,14820,50,2024-04-26,14970,335506960000,22472000,17383
16,한화3우B,14880,14960,14790,90,2024-04-25,14830,334383360000,22472000,20661
17,한화3우B,14790,14850,14770,-10,2024-04-24,14850,332360880000,22472000,14738
18,한화3우B,14800,14900,14770,0,2024-04-23,14900,332585600000,22472000,10563
19,한화3우B,14800,14950,14730,80,2024-04-22,14760,332585600000,22472000,14095
20,한화3우B,14720,14770,14670,-40,2024-04-19,14760,330787840000,22472000,31044
21,한화3우B,14760,14990,14710,10,2024-04-18,14750,331686720000,22472000,57852
22,한화3우B,14750,14820,14750,0,2024-04-17,14770,331462000000,22472000,47474
23,한화3우B,14750,14900,14740,-240,2024-04-16,14900,331462000000,22472000,87717
24,한화3우B,14990,15010,14780,180,2024-04-15,14790,336855280000,22472000,25413
