id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,한화,26200,26750,26100,-450,2024-05-21,26650,1963918857000,74958735,199115
2,한화,26650,26850,26550,100,2024-05-20,26750,1997650287750,74958735,159124
3,한화,26550,27050,26500,-600,2024-05-17,27000,1990154414250,74958735,197135
4,한화,27150,27500,26850,0,2024-05-16,27300,2035129655250,74958735,249742
5,한화,27150,27550,27000,-300,2024-05-14,27550,2035129655250,74958735,175463
6,한화,27450,27550,27200,150,2024-05-13,27400,2057617275750,74958735,138319
7,한화,27300,27450,27100,150,2024-05-10,27250,2046373465500,74958735,141982
8,한화,27150,27500,26950,-400,2024-05-09,27400,2035129655250,74958735,254580
9,한화,27550,27750,27100,450,2024-05-08,27250,2065113149250,74958735,196689
10,한화,27100,27300,26800,150,2024-05-07,27200,2031381718500,74958735,184473
11,한화,26950,27450,26950,-250,2024-05-03,27300,2020137908250,74958735,135260
12,한화,27200,27500,26850,-150,2024-05-02,27300,2038877592000,74958735,217357
13,한화,27350,27850,27200,-450,2024-04-30,27800,2050121402250,74958735,211211
14,한화,27800,27950,26950,1050,2024-04-29,26950,2083852833000,74958735,310082
15,한화,26750,26950,26600,-100,2024-04-26,26850,2005146161250,74958735,153908
16,한화,26850,27150,26350,300,2024-04-25,26500,2012642034750,74958735,204761
17,한화,26550,27000,26500,-100,2024-04-24,26800,1990154414250,74958735,191252
18,한화,26650,26900,26300,-50,2024-04-23,26750,1997650287750,74958735,155353
19,한화,26700,26800,26250,600,2024-04-22,26350,2001398224500,74958735,171183
20,한화,26100,26350,25750,-150,2024-04-19,26050,1956422983500,74958735,219923
21,한화,26250,26350,25650,400,2024-04-18,25650,1967666793750,74958735,214484
22,한화,25850,26600,25850,-450,2024-04-17,26400,1937683299750,74958735,233151
23,한화,26300,27050,26100,-950,2024-04-16,26900,1971414730500,74958735,340398
24,한화,27250,27500,26300,450,2024-04-15,26500,2042625528750,74958735,266730
