id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,한화손해보험,5310,5390,5260,20,2024-05-21,5290,619883638650,116738915,572910
2,한화손해보험,5290,5320,5170,60,2024-05-20,5250,617548860350,116738915,611498
3,한화손해보험,5230,5270,5130,0,2024-05-17,5250,610544525450,116738915,541803
4,한화손해보험,5230,5390,5070,120,2024-05-16,5070,610544525450,116738915,1056416
5,한화손해보험,5110,5160,5000,30,2024-05-14,5120,596535855650,116738915,686702
6,한화손해보험,5080,5150,5050,20,2024-05-13,5060,593033688200,116738915,496198
7,한화손해보험,5060,5100,4895,165,2024-05-10,4895,590698909900,116738915,597327
8,한화손해보험,4895,4990,4895,-80,2024-05-09,4945,571436988925,116738915,284478
9,한화손해보험,4975,4980,4835,125,2024-05-08,4860,580776102125,116738915,411184
10,한화손해보험,4850,4895,4775,30,2024-05-07,4810,566183737750,116738915,445369
11,한화손해보험,4820,4960,4800,-95,2024-05-03,4910,562681570300,116738915,467126
12,한화손해보험,4915,5080,4915,-125,2024-05-02,5020,573771767225,116738915,591517
13,한화손해보험,5040,5190,4925,0,2024-04-30,5000,588364131600,116738915,886655
14,한화손해보험,5040,5040,4885,45,2024-04-29,5000,588364131600,116738915,511051
15,한화손해보험,4995,5030,4840,80,2024-04-26,4915,583110880425,116738915,800954
16,한화손해보험,4915,4940,4850,60,2024-04-25,4860,573771767225,116738915,628833
17,한화손해보험,4855,4890,4725,60,2024-04-24,4790,566767432325,116738915,872462
18,한화손해보험,4795,4870,4605,130,2024-04-23,4670,559763097425,116738915,1814141
19,한화손해보험,4665,4700,4420,250,2024-04-22,4420,544587038475,116738915,934336
20,한화손해보험,4415,4445,4335,30,2024-04-19,4355,515402309725,116738915,533752
21,한화손해보험,4385,4455,4200,185,2024-04-18,4200,511900142275,116738915,710325
22,한화손해보험,4200,4285,4180,-20,2024-04-17,4220,490303443000,116738915,176827
23,한화손해보험,4220,4315,4180,-45,2024-04-16,4260,492638221300,116738915,225167
24,한화손해보험,4265,4275,4085,130,2024-04-15,4105,497891472475,116738915,295165
