id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,한화우,29750,29950,29700,-250,2024-05-21,29950,14258996500,479294,592
2,한화우,30000,30150,29850,100,2024-05-20,29900,14378820000,479294,120
3,한화우,29900,30300,29900,-50,2024-05-17,30300,14330890600,479294,419
4,한화우,29950,30050,29900,-350,2024-05-16,30050,14354855300,479294,2938
5,한화우,30300,30500,29800,550,2024-05-14,29800,14522608200,479294,1432
6,한화우,29750,29950,29500,-250,2024-05-13,29950,14258996500,479294,1439
7,한화우,30000,30850,29950,-750,2024-05-10,30850,14378820000,479294,1525
8,한화우,30750,30750,30450,-100,2024-05-09,30700,14738290500,479294,392
9,한화우,30850,30850,30300,300,2024-05-08,30300,14786219900,479294,778
10,한화우,30550,30650,30500,0,2024-05-07,30600,14642431700,479294,676
11,한화우,30550,30950,30550,-200,2024-05-03,30950,14642431700,479294,290
12,한화우,30750,30900,30600,-50,2024-05-02,30800,14738290500,479294,198
13,한화우,30800,31200,30700,-200,2024-04-30,31200,14762255200,479294,425
14,한화우,31000,31100,30900,100,2024-04-29,30900,14858114000,479294,1455
15,한화우,30900,31100,30850,50,2024-04-26,31100,14810184600,479294,477
16,한화우,30850,31000,30850,-100,2024-04-25,30900,14786219900,479294,972
17,한화우,30950,31350,30600,0,2024-04-24,30600,14834149300,479294,568
18,한화우,30950,31600,30950,-350,2024-04-23,31600,14834149300,479294,1252
19,한화우,31300,31700,31100,-400,2024-04-22,31100,15001902200,479294,1949
20,한화우,31700,31700,31050,200,2024-04-19,31050,15193619800,479294,517
21,한화우,31500,31800,31050,-1400,2024-04-18,31800,15097761000,479294,967
22,한화우,32900,32900,30700,2000,2024-04-17,30800,15768772600,479294,900
23,한화우,30900,32000,30700,-2100,2024-04-16,32000,14810184600,479294,2833
24,한화우,33000,33000,30700,1700,2024-04-15,31000,15816702000,479294,697
