id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,헝셩그룹,205,206,203,-1,2024-05-21,206,25734692220,125535084,172769
2,헝셩그룹,206,206,204,1,2024-05-20,204,25860227304,125535084,226123
3,헝셩그룹,205,207,204,-1,2024-05-17,206,25734692220,125535084,390135
4,헝셩그룹,206,209,203,-1,2024-05-16,205,25860227304,125535084,603546
5,헝셩그룹,207,207,202,1,2024-05-14,206,25985762388,125535084,418580
6,헝셩그룹,206,209,205,-2,2024-05-13,209,25860227304,125535084,215183
7,헝셩그룹,208,212,204,4,2024-05-10,204,26111297472,125535084,805893
8,헝셩그룹,204,205,203,-1,2024-05-09,205,25609157136,125535084,219387
9,헝셩그룹,205,205,202,0,2024-05-08,205,25734692220,125535084,381398
10,헝셩그룹,205,206,203,0,2024-05-07,205,25734692220,125535084,474718
11,헝셩그룹,205,205,203,0,2024-05-03,204,25734692220,125535084,270244
12,헝셩그룹,205,206,203,-1,2024-05-02,206,25734692220,125535084,233614
13,헝셩그룹,206,206,204,1,2024-04-30,205,25860227304,125535084,479507
14,헝셩그룹,205,206,202,2,2024-04-29,204,25734692220,125535084,420521
15,헝셩그룹,203,205,203,0,2024-04-26,204,25483622052,125535084,532858
16,헝셩그룹,203,205,203,-2,2024-04-25,205,25483622052,125535084,663945
17,헝셩그룹,205,206,203,1,2024-04-24,203,25734692220,125535084,353635
18,헝셩그룹,204,206,203,-1,2024-04-23,204,25609157136,125535084,587004
19,헝셩그룹,205,208,204,-1,2024-04-22,206,25734692220,125535084,404165
20,헝셩그룹,206,211,203,-5,2024-04-19,211,25860227304,125535084,1671483
21,헝셩그룹,211,238,211,-5,2024-04-18,235,26487902724,125535084,9541434
22,헝셩그룹,216,221,206,12,2024-04-17,206,27115578144,125535084,5831745
23,헝셩그룹,204,207,202,-3,2024-04-16,205,25609157136,125535084,457534
24,헝셩그룹,207,209,205,0,2024-04-15,208,25985762388,125535084,409861
