id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,현대건설,33800,34000,33650,-300,2024-05-21,33950,3763824857000,111355765,245570
2,현대건설,34100,34650,33950,-150,2024-05-20,34400,3797231586500,111355765,231909
3,현대건설,34250,34950,34200,-850,2024-05-17,34900,3813934951250,111355765,337820
4,현대건설,35100,35600,34700,0,2024-05-16,35450,3908587351500,111355765,337041
5,현대건설,35100,35550,34800,300,2024-05-14,35000,3908587351500,111355765,295089
6,현대건설,34800,35000,34550,0,2024-05-13,34950,3875180622000,111355765,212189
7,현대건설,34800,35800,34750,-550,2024-05-10,35550,3875180622000,111355765,441933
8,현대건설,35350,36000,35250,-350,2024-05-09,35650,3936426292750,111355765,490370
9,현대건설,35700,35850,35300,100,2024-05-08,35600,3975400810500,111355765,374974
10,현대건설,35600,35650,35150,350,2024-05-07,35250,3964265234000,111355765,384252
11,현대건설,35250,35500,35100,-150,2024-05-03,35500,3925290716250,111355765,317935
12,현대건설,35400,35550,35050,-50,2024-05-02,35300,3941994081000,111355765,318265
13,현대건설,35450,35750,35100,50,2024-04-30,35350,3947561869250,111355765,514831
14,현대건설,35400,35500,34650,800,2024-04-29,34700,3941994081000,111355765,781993
15,현대건설,34600,34850,34400,-200,2024-04-26,34550,3852909469000,111355765,303079
16,현대건설,34800,34850,34250,200,2024-04-25,34350,3875180622000,111355765,502646
17,현대건설,34600,34800,34000,400,2024-04-24,34300,3852909469000,111355765,621567
18,현대건설,34200,34200,33700,200,2024-04-23,34000,3808367163000,111355765,566126
19,현대건설,34000,34150,33450,750,2024-04-22,33600,3786096010000,111355765,890029
20,현대건설,33250,33450,31600,850,2024-04-19,32000,3702579186250,111355765,727477
21,현대건설,32400,32400,31500,1050,2024-04-18,31700,3607926786000,111355765,297725
22,현대건설,31350,31750,31200,-150,2024-04-17,31550,3491003232750,111355765,277361
23,현대건설,31500,32300,31450,-850,2024-04-16,32150,3507706597500,111355765,380437
24,현대건설,32350,32650,32200,-350,2024-04-15,32400,3602358997750,111355765,246570
