id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,현대건설우,49300,49500,49250,50,2024-05-21,49250,51996364900,1054693,918
2,현대건설우,49250,49950,49200,-550,2024-05-20,49950,51943630250,1054693,3174
3,현대건설우,49800,50000,49300,50,2024-05-17,49650,52523711400,1054693,1799
4,현대건설우,49750,50100,49300,-200,2024-05-16,49950,52470976750,1054693,2447
5,현대건설우,49950,49950,49450,200,2024-05-14,49750,52681915350,1054693,1312
6,현대건설우,49750,49900,49200,300,2024-05-13,49850,52470976750,1054693,1949
7,현대건설우,49450,50000,49450,-250,2024-05-10,49950,52154568850,1054693,2012
8,현대건설우,49700,49950,49500,50,2024-05-09,49600,52418242100,1054693,1627
9,현대건설우,49650,49750,49300,250,2024-05-08,49400,52365507450,1054693,1178
10,현대건설우,49400,49650,49200,0,2024-05-07,49450,52101834200,1054693,1309
11,현대건설우,49400,50200,49150,-250,2024-05-03,50200,52101834200,1054693,2088
12,현대건설우,49650,50100,49150,-450,2024-05-02,50000,52365507450,1054693,3852
13,현대건설우,50100,50300,49850,-200,2024-04-30,50300,52840119300,1054693,1460
14,현대건설우,50300,50800,49650,700,2024-04-29,49750,53051057900,1054693,3052
15,현대건설우,49600,49850,49500,0,2024-04-26,49750,52312772800,1054693,1419
16,현대건설우,49600,49950,49500,-100,2024-04-25,49700,52312772800,1054693,2006
17,현대건설우,49700,49900,49500,150,2024-04-24,49750,52418242100,1054693,1014
18,현대건설우,49550,50000,49550,-250,2024-04-23,50000,52260038150,1054693,1074
19,현대건설우,49800,49950,49450,300,2024-04-22,49950,52523711400,1054693,1088
20,현대건설우,49500,49600,49000,150,2024-04-19,49600,52207303500,1054693,2273
21,현대건설우,49350,49800,49150,200,2024-04-18,49150,52049099550,1054693,1228
22,현대건설우,49150,49900,49000,150,2024-04-17,49000,51838160950,1054693,911
23,현대건설우,49000,49400,48900,-450,2024-04-16,49400,51679957000,1054693,2856
24,현대건설우,49450,49450,49250,-200,2024-04-15,49300,52154568850,1054693,2531
