id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,현대해상,34200,34450,33850,-150,2024-05-21,34150,3057480000000,89400000,508573
2,현대해상,34350,34750,33850,700,2024-05-20,33900,3070890000000,89400000,505252
3,현대해상,33650,34650,33400,-950,2024-05-17,34650,3008310000000,89400000,469161
4,현대해상,34600,35000,33550,400,2024-05-16,33750,3093240000000,89400000,1658780
5,현대해상,34200,34650,30950,2950,2024-05-14,31250,3057480000000,89400000,2199629
6,현대해상,31250,31500,30950,250,2024-05-13,31200,2793750000000,89400000,237739
7,현대해상,31000,31350,30850,400,2024-05-10,30900,2771400000000,89400000,448335
8,현대해상,30600,31200,30550,-600,2024-05-09,31200,2735640000000,89400000,313701
9,현대해상,31200,31250,30700,100,2024-05-08,31100,2789280000000,89400000,266172
10,현대해상,31100,31100,30350,650,2024-05-07,30700,2780340000000,89400000,292131
11,현대해상,30450,30700,30250,-50,2024-05-03,30550,2722230000000,89400000,160250
12,현대해상,30500,31250,30350,-800,2024-05-02,31050,2726700000000,89400000,300299
13,현대해상,31300,31700,31150,-500,2024-04-30,31500,2798220000000,89400000,310409
14,현대해상,31800,31800,31250,200,2024-04-29,31600,2842920000000,89400000,215197
15,현대해상,31600,31750,31100,600,2024-04-26,31300,2825040000000,89400000,279227
16,현대해상,31000,31600,30350,300,2024-04-25,30350,2771400000000,89400000,301329
17,현대해상,30700,30850,30400,-100,2024-04-24,30650,2744580000000,89400000,251319
18,현대해상,30800,31100,30500,50,2024-04-23,30700,2753520000000,89400000,259526
19,현대해상,30750,30900,29300,1600,2024-04-22,29550,2749050000000,89400000,630708
20,현대해상,29150,29350,28700,-200,2024-04-19,29050,2606010000000,89400000,416357
21,현대해상,29350,29550,29200,100,2024-04-18,29250,2623890000000,89400000,271112
22,현대해상,29250,29550,28950,150,2024-04-17,29300,2614950000000,89400000,240776
23,현대해상,29100,29250,28750,-150,2024-04-16,29000,2601540000000,89400000,283694
24,현대해상,29250,29250,28450,500,2024-04-15,28550,2614950000000,89400000,345011
