id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,화천기공,30600,30850,30300,-100,2024-05-21,30700,67320000000,2200000,1899
2,화천기공,30700,31300,30300,-50,2024-05-20,30700,67540000000,2200000,5539
3,화천기공,30750,30950,30450,0,2024-05-17,30650,67650000000,2200000,3702
4,화천기공,30750,31150,30700,-50,2024-05-16,31150,67650000000,2200000,1835
5,화천기공,30800,31050,30200,-50,2024-05-14,31000,67760000000,2200000,2541
6,화천기공,30850,30950,30550,100,2024-05-13,30750,67870000000,2200000,4262
7,화천기공,30750,30850,30600,50,2024-05-10,30800,67650000000,2200000,2822
8,화천기공,30700,30850,30500,150,2024-05-09,30550,67540000000,2200000,1849
9,화천기공,30550,30900,30000,-250,2024-05-08,30900,67210000000,2200000,5554
10,화천기공,30800,30950,30600,0,2024-05-07,30800,67760000000,2200000,2240
11,화천기공,30800,31050,30600,-150,2024-05-03,30800,67760000000,2200000,1576
12,화천기공,30950,31050,30400,200,2024-05-02,30600,68090000000,2200000,3139
13,화천기공,30750,31000,30700,-50,2024-04-30,30800,67650000000,2200000,3739
14,화천기공,30800,30950,30750,-50,2024-04-29,30950,67760000000,2200000,4991
15,화천기공,30850,30900,30550,0,2024-04-26,30600,67870000000,2200000,1604
16,화천기공,30850,31200,30550,-300,2024-04-25,30700,67870000000,2200000,2376
17,화천기공,31150,31400,30550,200,2024-04-24,31300,68530000000,2200000,4015
18,화천기공,30950,31050,30200,550,2024-04-23,30200,68090000000,2200000,3420
19,화천기공,30400,30450,29800,200,2024-04-22,29800,66880000000,2200000,2448
20,화천기공,30200,30400,29750,-150,2024-04-19,30100,66440000000,2200000,4907
21,화천기공,30350,30550,29850,450,2024-04-18,29850,66770000000,2200000,2266
22,화천기공,29900,30100,29650,300,2024-04-17,29700,65780000000,2200000,2537
23,화천기공,29600,30600,29550,-900,2024-04-16,30600,65120000000,2200000,19870
24,화천기공,30500,30950,30300,-450,2024-04-15,30750,67100000000,2200000,7041
