id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,흥국화재,4105,4210,4070,-80,2024-05-21,4185,263716057725,64242645,145679
2,흥국화재,4185,4320,4180,-20,2024-05-20,4235,268855469325,64242645,155568
3,흥국화재,4205,4430,4180,-325,2024-05-17,4395,270140322225,64242645,395888
4,흥국화재,4530,4675,4400,105,2024-05-16,4400,291019181850,64242645,381219
5,흥국화재,4425,4465,4240,125,2024-05-14,4275,284273704125,64242645,208786
6,흥국화재,4300,4345,4220,20,2024-05-13,4315,276243373500,64242645,116118
7,흥국화재,4280,4330,4170,110,2024-05-10,4190,274958520600,64242645,140262
8,흥국화재,4170,4240,4155,-70,2024-05-09,4200,267891829650,64242645,53241
9,흥국화재,4240,4285,4100,60,2024-05-08,4175,272388814800,64242645,108011
10,흥국화재,4180,4180,4080,45,2024-05-07,4135,268534256100,64242645,136645
11,흥국화재,4135,4320,4125,-195,2024-05-03,4285,265643337075,64242645,204260
12,흥국화재,4330,4455,4230,-45,2024-05-02,4350,278170652850,64242645,242869
13,흥국화재,4375,4440,4340,-85,2024-04-30,4380,281061571875,64242645,171475
14,흥국화재,4460,4470,4280,155,2024-04-29,4310,286522196700,64242645,351587
15,흥국화재,4305,4335,4080,185,2024-04-26,4120,276564586725,64242645,239728
16,흥국화재,4120,4205,4090,-5,2024-04-25,4160,264679697400,64242645,149367
17,흥국화재,4125,4150,4045,-15,2024-04-24,4140,265000910625,64242645,137681
18,흥국화재,4140,4185,4025,80,2024-04-23,4060,265964550300,64242645,202081
19,흥국화재,4060,4105,3785,285,2024-04-22,3820,260825138700,64242645,264646
20,흥국화재,3775,3815,3675,-20,2024-04-19,3770,242515984875,64242645,116247
21,흥국화재,3795,3865,3695,65,2024-04-18,3695,243800837775,64242645,176935
22,흥국화재,3730,3885,3730,-115,2024-04-17,3810,239625065850,64242645,149112
23,흥국화재,3845,3915,3810,-110,2024-04-16,3915,247012970025,64242645,94267
24,흥국화재,3955,3955,3740,105,2024-04-15,3810,254079660975,64242645,73839
