id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,흥국화재우,6660,6720,6610,-30,2024-05-21,6720,5114880000,768000,4021
2,흥국화재우,6690,6850,6690,-110,2024-05-20,6850,5137920000,768000,9620
3,흥국화재우,6800,6990,6750,-200,2024-05-17,6990,5222400000,768000,11784
4,흥국화재우,7000,7180,6870,100,2024-05-16,6870,5376000000,768000,14266
5,흥국화재우,6900,6900,6750,110,2024-05-14,6750,5299200000,768000,8243
6,흥국화재우,6790,6900,6680,-40,2024-05-13,6850,5214720000,768000,9999
7,흥국화재우,6830,6950,6810,-150,2024-05-10,6810,5245440000,768000,6017
8,흥국화재우,6980,7080,6650,-100,2024-05-09,7080,5360640000,768000,14581
9,흥국화재우,7080,7190,7020,80,2024-05-08,7020,5437440000,768000,4685
10,흥국화재우,7000,7040,6950,-20,2024-05-07,6950,5376000000,768000,2473
11,흥국화재우,7020,7110,6920,-70,2024-05-03,7110,5391360000,768000,5352
12,흥국화재우,7090,7130,7020,-30,2024-05-02,7030,5445120000,768000,6769
13,흥국화재우,7120,7150,7000,30,2024-04-30,7100,5468160000,768000,10843
14,흥국화재우,7090,7300,6660,550,2024-04-29,6660,5445120000,768000,40027
15,흥국화재우,6540,6630,6400,-120,2024-04-26,6630,5022720000,768000,13106
16,흥국화재우,6660,6700,6570,30,2024-04-25,6570,5114880000,768000,3928
17,흥국화재우,6630,6710,6610,-40,2024-04-24,6710,5091840000,768000,4871
18,흥국화재우,6670,6750,6520,60,2024-04-23,6580,5122560000,768000,8004
19,흥국화재우,6610,6850,6510,160,2024-04-22,6510,5076480000,768000,17686
20,흥국화재우,6450,6840,6360,-260,2024-04-19,6840,4953600000,768000,16169
21,흥국화재우,6710,6710,6400,210,2024-04-18,6400,5153280000,768000,16357
22,흥국화재우,6500,6700,6360,0,2024-04-17,6470,4992000000,768000,17825
23,흥국화재우,6500,6900,6280,230,2024-04-16,6280,4992000000,768000,35904
24,흥국화재우,6270,6350,6190,-290,2024-04-15,6320,4815360000,768000,24525
