id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,이스트아시아홀딩스,94,94,92,1,2024-05-21,93,40601612700,431932050,1371210
2,헝셩그룹,205,206,203,-1,2024-05-21,206,25734692220,125535084,172769
3,로스웰,800,814,788,1,2024-05-21,800,28825030400,36031288,74245
4,GRT,3380,3495,3365,-95,2024-05-21,3455,227727500000,67375000,55686
5,오가닉티코스메틱,102,104,99,3,2024-05-21,99,25016875062,245263481,9344485
6,컬러레이,828,838,811,12,2024-05-21,811,53026506900,64041675,226432
7,윙입푸드,2405,2710,2305,-90,2024-05-21,2535,115376094340,47973428,9934965
8,동화약품,8510,8620,8500,-70,2024-05-21,8610,237696809700,27931470,29469
9,KR모터스,1000,1020,996,-17,2024-05-21,1017,29132868000,29132868,105742
10,경방,8040,8230,8040,-100,2024-05-21,8140,220418770800,27415270,2398
11,삼양홀딩스,69500,71200,69300,-1200,2024-05-21,70800,595216834500,8564271,12834
12,삼양홀딩스우,56000,56300,56000,-300,2024-05-21,56300,17027248000,304058,163
13,하이트진로,19980,20150,19960,-120,2024-05-21,20100,1401269547780,70133611,193154
14,하이트진로2우B,15980,16100,15950,-110,2024-05-21,16090,18059605240,1130138,1225
15,유한양행,76800,77200,75900,300,2024-05-21,76900,6160056115200,80209064,343293
16,유한양행우,64200,64200,63200,400,2024-05-21,63800,75816348000,1180940,831
17,CJ대한통운,111400,113200,110700,-1500,2024-05-21,112900,2541295121600,22812344,98299
18,하이트진로홀딩스,9030,9160,9020,-150,2024-05-21,9050,209557087950,23206765,20041
19,하이트진로홀딩스우,11970,12000,11900,-30,2024-05-21,12000,5635595700,470810,248
20,두산,164000,169000,162600,1200,2024-05-21,165000,2709908940000,16523835,91171
21,두산우,73400,74100,72300,0,2024-05-21,72500,293340310800,3996462,5066
22,두산2우B,78000,78300,77200,-300,2024-05-21,78300,69656964000,893038,172
23,성창기업지주,1941,1942,1915,3,2024-05-21,1937,135387855600,69751600,83797
24,DL,58300,59800,57500,-1100,2024-05-21,59500,1221728037200,20955884,42685
25,DL우,29700,30100,29500,-250,2024-05-21,29950,50077615500,1686115,1028
26,유유제약,4950,5030,4950,-50,2024-05-21,5020,84310137450,17032351,122408
27,유유제약1우,5190,5310,5150,-40,2024-05-21,5240,11765366700,2266930,5930
28,유유제약2우B,11480,11700,11400,-50,2024-05-21,11700,3737428800,325560,1426
29,일동홀딩스,8320,8530,8300,-130,2024-05-21,8530,96016128000,11540400,16970
30,한국앤컴퍼니,15090,15130,14920,40,2024-05-21,15000,1432572771600,94935240,44258
31,삼천당제약,115500,116300,112600,1900,2024-05-21,114500,2709338016000,23457472,511763
32,기아,114400,115000,113800,-500,2024-05-21,114900,45993856823200,402044203,695579
33,대유플러스,241,0,0,0,2024-05-21,0,30475633069,126454909,0
34,노루홀딩스,12590,12750,12330,-60,2024-05-21,12650,167335591090,13291151,30896
35,노루홀딩스우,34900,35800,34900,-1200,2024-05-21,35700,8500209100,243559,652
36,한화손해보험,5310,5390,5260,20,2024-05-21,5290,619883638650,116738915,572910
37,삼화페인트,8920,9100,8650,-270,2024-05-21,9090,242654943480,27203469,2780674
38,롯데손해보험,3410,3490,3375,-45,2024-05-21,3475,1058246851200,310336320,507481
39,대원강업,5370,5400,5280,20,2024-05-21,5350,332940000000,62000000,134898
40,중앙에너비스,20350,20600,20000,-450,2024-05-21,20400,126722095500,6227130,41264
41,CR홀딩스,6190,6260,6150,-20,2024-05-21,6210,290252133100,46890490,19678
42,대동,11100,11250,11000,-110,2024-05-21,11190,284612746800,25640788,155042
43,가온전선,61700,68100,61700,-3900,2024-05-21,67000,453985268200,7357946,753376
44,삼일제약,8790,10500,8770,-210,2024-05-21,9050,183460194930,20871467,3759547
45,흥국화재,4105,4210,4070,-80,2024-05-21,4185,263716057725,64242645,145679
46,흥국화재우,6660,6720,6610,-30,2024-05-21,6720,5114880000,768000,4021
47,CS홀딩스,66700,66900,65500,0,2024-05-21,66700,77003949400,1154482,3226
48,동아쏘시오홀딩스,106800,107500,105100,-300,2024-05-21,107200,678063908400,6348913,2938
