id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt
1,이스트아시아홀딩스,95,96,94,0,2024-05-13,96,41033544750,431932050
2,이스트아시아홀딩스,95,96,93,1,2024-05-10,94,41033544750,431932050
3,이스트아시아홀딩스,94,95,93,-1,2024-05-09,95,40601612700,431932050
4,이스트아시아홀딩스,95,96,94,1,2024-05-08,94,41033544750,431932050
5,이스트아시아홀딩스,94,95,93,0,2024-05-07,94,40601612700,431932050
6,이스트아시아홀딩스,94,95,93,1,2024-05-03,93,40601612700,431932050
7,이스트아시아홀딩스,93,95,93,0,2024-05-02,94,40169680650,431932050
8,이스트아시아홀딩스,93,96,93,-1,2024-04-30,94,40169680650,431932050
9,이스트아시아홀딩스,94,95,93,0,2024-04-29,95,40601612700,431932050
10,이스트아시아홀딩스,94,98,94,0,2024-04-26,95,40601612700,431932050
11,이스트아시아홀딩스,94,95,91,2,2024-04-25,92,40601612700,431932050
12,이스트아시아홀딩스,92,93,91,0,2024-04-24,92,39737748600,431932050
13,이스트아시아홀딩스,92,94,92,-1,2024-04-23,93,39737748600,431932050
14,이스트아시아홀딩스,93,95,91,1,2024-04-22,92,40169680650,431932050
15,이스트아시아홀딩스,92,98,91,-6,2024-04-19,97,39737748600,431932050
16,이스트아시아홀딩스,98,116,98,-7,2024-04-18,105,42329340900,431932050
17,이스트아시아홀딩스,105,105,92,14,2024-04-17,94,45352865250,431932050
18,이스트아시아홀딩스,91,91,89,0,2024-04-16,90,39305816550,431932050
19,이스트아시아홀딩스,91,92,88,-1,2024-04-15,91,39305816550,431932050
