id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt
1,이스트아시아홀딩스,95,96,94,0,2024-05-13,96,41033544750,431932050
2,헝셩그룹,206,209,205,-2,2024-05-13,209,25860227304,125535084
3,로스웰,821,837,811,2,2024-05-13,819,29581687448,36031288
4,GRT,3395,3590,3395,-55,2024-05-13,3540,228738125000,67375000
5,오가닉티코스메틱,103,105,103,0,2024-05-13,103,25262138543,245263481
6,컬러레이,817,835,811,4,2024-05-13,815,52322048475,64041675
7,윙입푸드,2190,2375,2075,110,2024-05-13,2160,105061807320,47973428
8,동화약품,8560,8700,8550,-80,2024-05-13,8700,239093383200,27931470
9,KR모터스,1045,1065,1043,-4,2024-05-13,1054,30443847060,29132868
10,경방,7900,7910,7610,200,2024-05-13,7700,216580633000,27415270
11,삼양홀딩스,67600,68000,67500,-200,2024-05-13,67900,578944719600,8564271
12,삼양홀딩스우,55000,56000,54600,0,2024-05-13,56000,16723190000,304058
13,하이트진로,20400,20500,20250,0,2024-05-13,20500,1430725664400,70133611
14,하이트진로2우B,15930,16000,15850,-10,2024-05-13,15990,18003098340,1130138
15,유한양행,70600,73300,70500,-1000,2024-05-13,71900,5662759918400,80209064
16,유한양행우,61700,62100,61200,-200,2024-05-13,61600,72863998000,1180940
17,CJ대한통운,117800,121600,115500,-1600,2024-05-13,119400,2687294123200,22812344
18,하이트진로홀딩스,9090,9150,9040,-30,2024-05-13,9150,210949493850,23206765
19,하이트진로홀딩스우,11880,12120,11860,-190,2024-05-13,12120,5593222800,470810
20,두산,170400,172000,162000,9100,2024-05-13,162900,2815661484000,16523835
21,두산우,72500,73500,69000,2800,2024-05-13,70900,289743495000,3996462
22,두산2우B,80000,80700,77700,1700,2024-05-13,78500,71443040000,893038
23,성창기업지주,1928,1951,1928,-23,2024-05-13,1950,134481084800,69751600
24,DL,54700,55000,53900,200,2024-05-13,54900,1146286854800,20955884
25,DL우,26950,27800,26800,0,2024-05-13,26950,45440799250,1686115
26,유유제약,4665,4785,4660,-85,2024-05-13,4785,79455917415,17032351
27,유유제약1우,5000,5020,4950,-20,2024-05-13,5000,11334650000,2266930
28,유유제약2우B,11160,11190,11000,10,2024-05-13,11070,3633249600,325560
29,일동홀딩스,8850,8870,8670,0,2024-05-13,8670,102132540000,11540400
30,한국앤컴퍼니,14840,14930,14810,50,2024-05-13,14820,1408838961600,94935240
31,삼천당제약,111800,117600,108400,-2300,2024-05-13,116000,2622545369600,23457472
32,기아,114300,115700,113300,200,2024-05-13,113900,45953652402900,402044203
33,대유플러스,241,0,0,0,2024-05-13,0,30475633069,126454909
34,노루홀딩스,12690,12790,12580,90,2024-05-13,12580,168664706190,13291151
35,노루홀딩스우,35950,36200,35550,550,2024-05-13,35750,8755946050,243559
36,한화손해보험,5080,5150,5050,20,2024-05-13,5060,593033688200,116738915
37,삼화페인트,7180,7440,7150,-220,2024-05-13,7400,195320907420,27203469
38,롯데손해보험,3375,3410,3330,-25,2024-05-13,3375,1047385080000,310336320
39,대원강업,5540,5590,5470,-10,2024-05-13,5520,343480000000,62000000
40,중앙에너비스,21450,21950,19900,500,2024-05-13,20300,133571938500,6227130
41,CR홀딩스,6150,6190,6100,-50,2024-05-13,6150,288376513500,46890490
42,대동,11810,11980,11800,-120,2024-05-13,11900,302817706280,25640788
43,가온전선,66300,74500,64000,1100,2024-05-13,66800,487831819800,7357946
44,삼일제약,9170,9340,9070,-60,2024-05-13,9230,191391352390,20871467
45,흥국화재,4300,4345,4220,20,2024-05-13,4315,276243373500,64242645
46,흥국화재우,6790,6900,6680,-40,2024-05-13,6850,5214720000,768000
47,CS홀딩스,66200,66200,65900,300,2024-05-13,65900,76426708400,1154482
48,동아쏘시오홀딩스,105800,106300,105000,300,2024-05-13,106300,671714995400,6348913
49,천일고속,45300,45550,44750,50,2024-05-13,45550,64743666000,1429220
50,SK하이닉스,183800,184000,179000,3900,2024-05-13,180000,133806834687000,728002365
51,영풍,404000,412500,404000,-2000,2024-05-13,412000,744184160000,1842040
52,LS네트웍스,4820,4900,4695,85,2024-05-13,4755,379830537120,78803016
53,유수홀딩스,5680,5740,5660,-20,2024-05-13,5720,147917492160,26041812
54,현대건설,34800,35000,34550,0,2024-05-13,34950,3875180622000,111355765
55,현대건설우,49750,49900,49200,300,2024-05-13,49850,52470976750,1054693
56,이화산업,14770,14830,14450,60,2024-05-13,14710,41356000000,2800000
57,삼성화재,335500,339000,329500,9000,2024-05-13,334000,15894257813500,47374837
58,삼성화재우,248500,253500,246500,1500,2024-05-13,247000,793212000000,3192000
59,화천기공,30850,30950,30550,100,2024-05-13,30750,67870000000,2200000
60,강남제비스코,27000,27950,26750,-950,2024-05-13,27950,175500000000,6500000
61,한화,27450,27550,27200,150,2024-05-13,27400,2057617275750,74958735
62,한화우,29750,29950,29500,-250,2024-05-13,29950,14258996500,479294
63,한화3우B,14940,14990,14830,-10,2024-05-13,14900,335731680000,22472000
64,보해양조,487,489,484,-2,2024-05-13,488,67751502823,139120129
65,유니온,5600,5750,5550,0,2024-05-13,5730,87425066400,15611619
66,전방,20450,20800,20400,50,2024-05-13,20400,34356000000,1680000
67,한국주철관,6590,6620,6500,80,2024-05-13,6510,150255295000,22800500
68,DB하이텍,42900,43800,42750,-200,2024-05-13,43600,1904699425200,44398588
69,신라섬유,1330,1355,1321,-14,2024-05-13,1344,32289128200,24277540
70,페이퍼코리아,844,856,836,-4,2024-05-13,838,150217916172,177983313
71,CJ,150500,151500,143500,5000,2024-05-13,145600,4391138199000,29176998
72,CJ우,66200,66200,63100,2600,2024-05-13,63600,149626762600,2260223
73,CJ4우(전환),104400,104400,99600,4200,2024-05-13,99600,441247852800,4226512
74,JW중외제약,30100,30350,29500,-450,2024-05-13,30300,700906493000,23285930
75,JW중외제약우,29500,29500,28900,100,2024-05-13,28900,10087554500,341951
76,JW중외제약2우B,59000,59000,59000,0,2024-05-13,59000,12388407000,209973
77,대한방직,6310,6540,6310,-140,2024-05-13,6500,33443000000,5300000
78,만호제강,47150,0,0,0,2024-05-13,0,195672500000,4150000
79,LX인터내셔널,29250,29800,29150,-100,2024-05-13,29600,1133730000000,38760000
80,대한제분,135800,135800,133700,1100,2024-05-13,134700,229502000000,1690000
81,국보,2110,0,0,0,2024-05-13,0,33456978680,15856388
82,유진투자증권,4130,4235,3955,-75,2024-05-13,4205,400058306340,96866418
83,금호전기,752,769,734,13,2024-05-13,739,28628421168,38069709
84,동국홀딩스,8550,8590,8480,40,2024-05-13,8500,271894129650,31800483
85,GS글로벌,2465,2515,2465,-40,2024-05-13,2505,203445728260,82533764
86,남광토건,6190,6200,6120,60,2024-05-13,6140,60863620680,9832572
87,부국증권,24550,24600,24350,100,2024-05-13,24450,254580701300,10369886
88,부국증권우,20800,20850,20700,50,2024-05-13,20700,62400000000,3000000
89,상상인증권,673,678,669,-3,2024-05-13,674,72910881760,108337120
90,백광산업,7360,7680,7250,-320,2024-05-13,7680,330599475520,44918407
91,삼성제약,1696,1700,1685,-4,2024-05-13,1699,159698885984,94162079
92,SG글로벌,1965,2005,1955,-28,2024-05-13,1993,88354540995,44964143
93,KG케미칼,5590,5610,5520,30,2024-05-13,5540,382741933600,68469040
94,태원물산,4230,4230,4185,0,2024-05-13,4220,32148000000,7600000
95,세아베스틸지주,22050,22300,21900,0,2024-05-13,22100,790759723950,35862119
96,대한전선,18110,18900,14640,3510,2024-05-13,15000,3376560603000,186447300
97,현대해상,31250,31500,30950,250,2024-05-13,31200,2793750000000,89400000
98,BYC,38600,39300,38550,-250,2024-05-13,38900,241101390000,6246150
99,BYC우,15480,15650,15250,-20,2024-05-13,15650,33341598000,2153850
100,삼부토건,1616,1697,1611,-54,2024-05-13,1672,342653007232,212037752
